;name;overall;УИК №3020;УИК №3021;УИК №3022;УИК №3023;УИК №3024;УИК №3042;УИК №3043;УИК №3044;УИК №3045;УИК №3046
14;Андреева Ольга Владиславовна;1042.0;170;134;75;120;136;72;82;77;78;98
15;Андрюшин Анатолий Рудольфович;455.0;50;39;36;53;34;36;49;38;76;44
16;Ветчинкина Ирина Викторовна;365.0;38;37;32;44;23;31;42;31;56;31
17;Гвытев Максим Александрович;661.0;70;85;88;59;55;46;53;49;109;47
18;Голованова Наталья Александровна;462.0;46;38;35;44;28;30;45;27;133;36
19;Гришко Николай Станиславович;59.0;6;10;9;6;2;5;6;3;4;8
20;Давлеев Артем Альбертович;598.0;55;80;94;70;57;36;46;57;57;46
21;Ермаков Сергей Валентинович;594.0;40;75;79;69;62;43;66;46;60;54
22;Журина Антонина Владимировна;189.0;21;20;18;24;19;19;16;14;18;20
23;Иванычев Максим Сергеевич;857.0;131;106;66;104;132;55;65;67;60;71
24;Кобцова Ирина Анатольевна;1001.0;127;141;61;129;219;51;72;68;60;73
25;Копкина Ирина Николаевна;1002.0;116;133;149;126;107;48;66;98;102;57
26;Королева Ирина Валентиновна;851.0;109;109;64;90;184;49;59;61;54;72
27;Кульянов Андрей Евгеньевич;566.0;62;79;84;64;59;35;40;48;53;42
28;Курочкина Анна Викторовна;384.0;34;32;52;42;40;29;49;30;39;37
29;Мазур Элина Викторовна;160.0;7;17;15;17;9;6;16;9;48;16
30;Маресьева Елена Павловна;458.0;46;56;35;52;53;20;45;45;62;44
31;Марусов Сергей Александрович;95.0;6;13;17;10;7;8;7;8;11;8
32;Моргуновская Алена Евгеньевна;77.0;7;8;12;7;9;2;11;8;6;7
33;Нестеренко Татьяна Арефьевна;108.0;15;11;12;16;9;5;11;11;10;8
34;Репин Ефим Николаевич;121.0;13;10;18;15;9;9;7;10;18;12
35;Ромашин Ростислав Геннадьевич;243.0;14;18;22;13;13;16;19;21;89;18
36;Рыбакова Ольга Ивановна;374.0;26;32;37;40;85;29;30;20;56;19
37;Тупиков Максим Михайлович;145.0;17;12;11;10;12;10;17;10;18;28
38;Шапкин Виталий Игоревич;87.0;5;10;9;16;7;5;12;8;5;10
