;name;overall;УИК №3025;УИК №3026;УИК №3027;УИК №3028;УИК №3029;УИК №3030;УИК №3031;УИК №3032;УИК №3033;УИК №3034;УИК №3035;УИК №3036;УИК №3037
14;Абрамов Юрий Иванович;834.0;76;46;57;14;55;74;77;47;83;83;85;107;30
15;Баринов Игорь Николаевич;1175.0;110;61;105;46;134;147;78;51;92;118;74;97;62
16;Батраченко Петр Игоревич;266.0;20;10;21;9;21;34;25;11;26;31;15;26;17
17;Галлямов Олег Раульевич;114.0;17;9;11;5;12;10;8;6;11;8;4;6;7
18;Журин Роман Александрович;267.0;21;13;21;7;34;27;20;15;27;25;15;25;17
19;Иванов Анатолий Алексеевич;419.0;38;21;17;10;44;43;53;17;39;40;31;45;21
20;Илюхина Наталья Алексеевна;1196.0;103;62;117;51;134;145;89;50;74;114;84;103;70
21;Копкин Андрей Александрович;643.0;72;40;44;6;43;65;57;29;62;50;60;82;33
22;Кузнецова Татьяна Ивановна;449.0;44;17;26;24;41;45;50;19;44;32;31;39;37
23;Ларионова Ольга Сергеевна;130.0;11;7;12;6;19;15;6;6;13;11;6;10;8
24;Марков Алексей Викторович;115.0;11;3;12;1;13;14;13;5;9;8;7;11;8
25;Миронов Алексей Александрович;365.0;32;17;26;6;32;40;84;10;22;30;25;30;11
26;Митяев Александр Константинович;93.0;10;2;6;3;14;12;7;2;10;7;3;5;12
27;Мышаев Евгений Иванович;278.0;32;8;18;13;21;24;27;22;15;24;19;37;18
28;Осадчий Николай Витальевич;78.0;3;3;4;5;9;6;4;5;9;7;6;10;7
29;Полока Диана Руслановна;67.0;3;4;6;0;7;7;3;3;9;4;5;10;6
30;Рыженина Ольга Владимировна;649.0;58;31;37;13;47;49;69;39;62;57;64;73;50
31;Санников Вячеслав Юрьевич;672.0;70;39;48;10;40;68;67;37;65;47;67;89;25
32;Тихонова Ольга Викторовна;530.0;41;28;27;6;42;39;51;29;46;48;73;58;42
33;Филимонова Елена Николаевна;950.0;80;49;96;34;113;110;47;47;54;87;81;96;56
34;Филиппов Владимир Юрьевич;405.0;37;12;24;9;29;49;54;25;40;29;29;39;29
35;Черноусов Юрий Васильевич;1144.0;104;58;108;37;120;145;73;67;93;110;80;87;62
