;name;overall;УИК №107;УИК №116;УИК №117;УИК №118;УИК №125;УИК №126;УИК №127;УИК №128;УИК №129;УИК №130;УИК №131
14;Абрамова Наталия Александровна;843.0;51;108;88;54;141;78;65;50;96;48;64
15;Авдусин Антон Андреевич;791.0;79;83;81;89;76;60;97;64;49;66;47
16;Бакланов Александр Александрович;194.0;16;13;26;18;15;13;23;14;14;20;22
17;Воронцов Михаил Александрович;325.0;20;72;45;26;30;16;32;24;26;21;13
18;Иванов Руслан Игоревич;719.0;46;95;81;48;116;68;61;35;76;38;55
19;Козленко Евгений Николаевич;99.0;9;16;9;11;12;5;9;8;8;4;8
20;Королев Сергей Владимирович;530.0;23;45;56;77;61;66;60;34;32;36;40
21;Куприянов Евгений Николаевич;204.0;15;30;24;24;19;11;20;18;21;12;10
22;Лапченко Сергей Александрович;653.0;80;86;80;44;94;61;48;24;71;27;38
23;Лермонтова Валентина Александровна;531.0;30;47;53;61;68;64;56;43;40;29;40
24;Литкова Маргарита Борисовна;400.0;19;30;51;52;44;47;39;33;32;26;27
25;Мезенова Елена Алексеевна;834.0;51;99;91;67;120;77;67;50;120;39;53
26;Меркулов Павел Андреевич;812.0;75;87;91;93;79;66;92;60;51;66;52
27;Михайлов Максим Васильевич;659.0;63;67;68;73;68;51;75;55;34;63;42
28;Пермяков Александр Леонидович;137.0;8;13;22;22;12;9;5;11;13;13;9
29;Пономарев Михаил Владимирович;764.0;66;86;87;94;79;67;86;54;39;57;49
30;Расторгуева Александра Сергеевна;724.0;66;79;80;70;72;60;97;56;44;54;46
31;Свиридов Илья Тимурович;1289.0;60;169;151;107;208;136;114;62;112;74;96
32;Смышляев Алексей Викторович;519.0;33;47;53;59;59;60;54;40;36;37;41
33;Троицкая Татьяна Викторовна;1089.0;40;113;167;110;71;75;121;68;76;140;108
34;Тунин Андрей Юрьевич;198.0;10;15;24;27;21;12;23;15;20;17;14
35;Уткина Мария Борисовна;999.0;26;100;158;101;63;70;99;76;74;133;99
36;Худяков Андрей Юрьевич;493.0;15;32;57;63;54;78;57;35;33;30;39
37;Хуторной Алексей Евгеньевич;860.0;28;88;139;87;53;56;83;59;52;118;97
38;Черных Николь Валентиновна;840.0;24;95;142;74;41;51;89;50;55;127;92
39;Шарыпин Руслан Сергеевич;108.0;6;11;9;17;10;6;11;4;11;16;7
40;Яценко Галина Александровна;1008.0;31;100;177;97;58;61;98;60;63;155;108
