;name;overall;УИК №144;УИК №145;УИК №146;УИК №147;УИК №148
14;Бреусов Александр Сергеевич;42.0;7;3;9;12;11
15;Быстрова Елена Владимировна;101.0;17;17;16;20;31
16;Вожеватов Максим Михайлович;23.0;6;3;2;8;4
17;Дугин Сергей Александрович;251.0;39;27;45;76;64
18;Каменских Владимир Николаевич;470.0;115;51;73;111;120
19;Коледа Мария Васильевна;54.0;10;9;10;14;11
20;Королёва Мария Львовна;157.0;47;17;28;30;35
21;Любченко Дмитрий Аркадьевич;67.0;6;3;15;22;21
22;Мазур Сергей Владимирович;346.0;66;36;56;83;105
23;Молодых Марина Евгеньевна;100.0;16;8;15;35;26
24;Осипов Александр Александрович;38.0;7;4;3;15;9
25;Павленков Юрий Викторович;51.0;5;6;5;14;21
26;Пашинцев Борис Анатольевич;131.0;47;14;21;27;22
27;Пономарев Николай Васильевич;116.0;25;15;20;19;37
28;Рогачёва Анна Геннадьевна;124.0;30;7;24;27;36
29;Симонова Ирина Александровна;55.0;11;7;12;10;15
30;Стоянова Дина Дмитриевна;315.0;68;32;57;70;88
31;Третьяков Дмитрий Александрович;765.0;140;87;129;201;208
32;Турушев Евгений Иванович;17.0;5;0;3;4;5
33;Фарвазов Марат Валерьевич;63.0;13;5;18;11;16
34;Федорук Андрей Васильевич;160.0;27;38;22;38;35
35;Филимонов Глеб Борисович;59.0;15;10;5;10;19
36;Фильченко Галина Александровна;766.0;137;91;142;198;198
37;Шинкаренко Николай Борисович;670.0;130;65;139;156;180
