;parameter;overall;УИК №139;УИК №140;УИК №142;УИК №143
1;Число избирателей, внесенных в список;11185.0;2786;2718;2844;2837
2;Число бюллетеней, полученных участковой комиссией;7600.0;1900;1900;1900;1900
3;Число бюллетеней, выданных избирателям в помещении для голосования;2034.0;493;572;506;463
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;29.0;3;6;16;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;91.0;30;32;17;12
6;Число погашенных бюллетеней;5472.0;1374;1296;1377;1425
7;Число бюллетеней в переносных ящиках для голосования;91.0;30;32;17;12
8;Число бюллетеней в стационарных ящиках для голосования;2061.0;495;578;521;467
9;Число недействительных бюллетеней;37.0;8;12;9;8
10;Число действительных бюллетеней;2115.0;517;598;529;471
11;Число утраченных бюллетеней;3.0;3;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
