;parameter;overall;УИК №141;УИК №149;УИК №150;УИК №151;УИК №152
1;Число избирателей, внесенных в список;11299.0;2033;2443;2638;2488;1697
2;Число бюллетеней, полученных участковой комиссией;7600.0;1400;1650;1750;1700;1100
3;Число бюллетеней, выданных избирателям в помещении для голосования;1869.0;378;357;390;485;259
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;14.0;3;1;2;6;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;124.0;21;21;26;36;20
6;Число погашенных бюллетеней;5607.0;1001;1272;1334;1179;821
7;Число бюллетеней в переносных ящиках для голосования;124.0;21;21;26;36;20
8;Число бюллетеней в стационарных ящиках для голосования;1882.0;381;358;392;490;261
9;Число недействительных бюллетеней;29.0;9;6;5;2;7
10;Число действительных бюллетеней;1977.0;393;373;413;524;274
11;Число утраченных бюллетеней;0.0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0
