;name;overall;УИК №1604;УИК №1605;УИК №1606;УИК №1607;УИК №1608;УИК №1609;УИК №1610;УИК №1611;УИК №1612;УИК №1613;УИК №1614;УИК №1615
14;Абрамов Игорь Николаевич;1663.0;135;127;161;122;141;162;143;148;130;94;143;157
15;Волошина Анастасия Викторовна;1611.0;116;131;152;118;124;156;132;137;146;86;160;153
16;Воробьев Евгений Викторович;615.0;43;51;65;42;57;79;72;38;45;35;35;53
17;Дугинова Татьяна Леонидовна;1591.0;122;133;156;110;126;158;133;136;130;93;140;154
18;Игнатьева Александра Витальевна;1538.0;115;115;142;113;126;145;124;130;137;90;152;149
19;Митяев Александр Константинович;587.0;45;42;68;46;52;79;52;37;44;35;32;55
20;Новикова Татьяна Викторовна;1662.0;118;128;143;125;130;158;147;152;141;109;160;151
21;Орлов Артем Юрьевич;672.0;50;45;80;52;58;74;54;33;53;48;48;77
22;Пимкин Юрий Александрович;498.0;23;41;56;42;48;45;48;38;37;35;42;43
23;Сараев Дмитрий Михайлович;681.0;31;57;65;52;73;73;68;39;46;42;58;77
24;Смирнов Сергей Сергеевич;537.0;31;42;60;46;48;52;55;29;42;42;34;56
25;Сотникова Тамара Ивановна;543.0;33;28;57;42;49;53;47;48;41;36;42;67
