;parameter;overall;УИК №2342;УИК №2343;УИК №2344;УИК №2345;УИК №2346;УИК №2347;УИК №2348;УИК №2349;УИК №2375;УИК №2376;УИК №2377;УИК №2379;УИК №2380;УИК №2382;УИК №2383;УИК №2384;УИК №2385
1;Число избирателей, внесенных в список;27822.0;1960;1906;2096;2171;1851;2192;2037;1978;1283;1965;2082;1507;1589;2257;446;139;363
2;Число бюллетеней, полученных участковой комиссией;20230.0;1400;1400;1500;1550;1300;1550;1450;1400;900;1400;1500;1100;1150;1600;500;150;380
3;Число бюллетеней, выданных избирателям в помещении для голосования;5124.0;392;405;324;411;284;396;314;274;159;371;311;273;251;310;415;53;181
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;48.0;5;4;1;5;7;6;3;4;0;0;4;4;2;3;0;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;472.0;18;18;18;19;9;22;25;26;5;7;9;4;16;14;22;84;156
6;Число погашенных бюллетеней;14634.0;990;977;1158;1120;1007;1132;1111;1100;736;1022;1180;823;883;1276;63;13;43
7;Число бюллетеней в переносных ящиках для голосования;472.0;18;18;18;19;9;22;25;26;5;7;9;4;16;14;22;84;156
8;Число бюллетеней в стационарных ящиках для голосования;5133.0;392;408;323;415;291;399;316;274;159;369;315;277;235;312;414;53;181
9;Число недействительных бюллетеней;194.0;12;4;8;13;11;33;7;10;6;10;13;9;8;9;18;2;21
10;Число действительных бюллетеней;5411.0;398;422;333;421;289;388;334;290;158;366;311;272;243;317;418;135;316
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
