;name;overall;УИК №2350;УИК №2351;УИК №2352;УИК №2353;УИК №2354;УИК №2355;УИК №2356;УИК №2357;УИК №2358;УИК №2359;УИК №2360;УИК №2361;УИК №2362;УИК №2363
14;Амелин Игорь Альбертович;582.0;57;33;44;7;39;51;41;38;35;51;56;39;72;19
15;Байгужин Денис Назилович;328.0;14;17;18;8;36;24;17;23;23;31;19;42;24;32
16;Барамзин Дмитрий Андреевич;275.0;26;21;18;5;31;19;23;15;15;30;18;22;19;13
17;Басаргин Максим Александрович;255.0;21;15;19;4;25;27;20;16;14;18;23;20;16;17
18;Богомазов Андрей Анатольевич;230.0;14;19;10;4;28;8;19;8;16;18;21;22;35;8
19;Бутырская Маргорита Афанасьевна;1662.0;64;74;131;23;150;124;115;144;143;130;142;159;146;117
20;Воробьев Виктор Викторович;1003.0;96;72;81;15;78;61;80;83;65;73;95;59;73;72
21;Ершова Елена Николаевна;533.0;41;34;34;4;27;50;34;47;28;51;56;40;65;22
22;Жуков Владимир Сергеевич;1205.0;51;65;119;15;110;75;90;97;106;88;84;85;106;114
23;Кузьменко Елена Николаевна;1175.0;51;55;93;15;96;75;94;106;111;93;82;96;125;83
24;Литвинова Наталья Игоревна;1369.0;57;87;128;17;113;105;111;124;109;89;108;103;117;101
25;Марцинковский Виктор Мартынович;499.0;38;34;32;5;23;36;25;38;26;43;48;31;100;20
26;Машанов Григорий Владимирович;983.0;102;81;64;11;72;51;80;99;64;75;82;59;70;73
27;Назаров Александр Геннадьевич;1070.0;117;113;75;15;75;66;89;86;64;78;88;55;70;79
28;Новосельцев Андрей Валерьевич;1377.0;53;57;122;17;119;90;87;117;137;93;98;146;114;127
29;Павлова Ольга Вадимовна;354.0;27;27;24;3;24;29;24;31;20;37;31;26;32;19
30;Плотников Александр Анатольевич;133.0;8;8;7;2;11;13;5;14;5;11;13;14;12;10
31;Политова Ирина Валентиновна;141.0;14;15;19;2;11;15;7;15;7;7;8;10;8;3
32;Полтавцев Дмитрий Витальевич;135.0;9;11;8;3;11;14;6;18;10;6;9;14;5;11
33;Степанов Александр Георгиевич;529.0;44;35;42;4;27;48;40;39;37;47;55;31;58;22
34;Терляков Юрий Николаевич;342.0;39;23;27;3;20;26;21;27;21;29;35;25;31;15
35;Тульский Алексей Николаевич;988.0;97;75;78;13;74;65;83;76;75;71;95;49;66;71
36;Ходасевич Василий Павлович;406.0;20;41;38;5;36;34;35;31;33;25;32;33;23;20
