;parameter;overall;УИК №2350;УИК №2351;УИК №2352;УИК №2353;УИК №2354;УИК №2355;УИК №2356;УИК №2357;УИК №2358;УИК №2359;УИК №2360;УИК №2361;УИК №2362;УИК №2363
1;Число избирателей, внесенных в список;27099.0;1985;2016;2129;436;2387;2115;1925;2082;1992;1958;2173;1923;2003;1975
2;Число бюллетеней, полученных участковой комиссией;19450.0;1400;1450;1500;400;1700;1500;1400;1500;1400;1400;1550;1400;1450;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;4077.0;282;254;300;58;321;299;285;344;301;294;352;309;391;287
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;37.0;4;8;1;1;0;3;3;2;3;2;2;1;4;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;211.0;11;10;22;1;18;12;10;19;14;20;16;18;12;28
6;Число погашенных бюллетеней;15162.0;1107;1186;1178;341;1361;1189;1105;1137;1085;1086;1182;1073;1047;1085
7;Число бюллетеней в переносных ящиках для голосования;211.0;11;10;22;1;18;12;10;19;14;20;16;18;12;28
8;Число бюллетеней в стационарных ящиках для голосования;4087.0;286;262;301;59;321;298;278;344;293;296;354;310;395;290
9;Число недействительных бюллетеней;176.0;14;7;9;2;10;13;9;17;15;17;10;10;30;13
10;Число действительных бюллетеней;4122.0;283;265;314;58;329;297;279;346;292;299;360;318;377;305
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
