;name;overall;УИК №419;УИК №426;УИК №427;УИК №435;УИК №436;УИК №437;УИК №438
14;Бакулин Владимир Викторович;79.0;24;15;5;3;9;8;15
15;Бессонов Максим Вячеславович;113.0;9;32;7;6;30;10;19
16;Вдовин Сергей Евгеньевич;1275.0;229;223;115;77;223;186;222
17;Ганялина Анна Владимировна;875.0;138;178;96;35;144;149;135
18;Григорьев Сергей Леонидович;370.0;50;71;41;16;61;71;60
19;Грядов Игорь Станиславович;660.0;87;110;76;42;117;102;126
20;Довгаль Сергей Федорович;1106.0;202;226;92;58;195;154;179
21;Кормухин Александр Андреевич;85.0;18;17;5;5;16;9;15
22;Крюков Константин Романович;238.0;44;46;25;10;43;33;37
23;Малькова Снежанна Вячеславовна;95.0;11;17;7;5;15;11;29
24;Меньшиков Александр Евгеньевич;265.0;31;55;86;2;47;23;21
25;Москвина Марина Владимировна;873.0;113;164;116;70;166;130;114
26;Новоселов Андрей Владимирович;778.0;128;160;58;37;136;123;136
27;Петроченков Степан Викторович;68.0;17;13;0;1;11;7;19
28;Пухович Алексей Михайлович;126.0;24;23;14;14;15;14;22
29;Растёгина Наталья Валерьевна;640.0;91;111;80;30;116;126;86
30;Родионова Людмила Ивановна;373.0;37;60;150;23;44;24;35
31;Семина Ирина Робертовна;191.0;46;36;14;14;22;33;26
32;Смирнова Ольга Анатольевна;857.0;207;135;49;38;144;120;164
33;Сурков Николай Станиславович;119.0;20;37;10;3;23;3;23
34;Сушенцев Виталий Васильевич;641.0;111;116;59;27;112;111;105
35;Таразанова Татьяна Васильевна;329.0;57;66;69;17;48;27;45
36;Тарасенкова Оксана Викторовна;139.0;12;13;63;3;23;7;18
37;Трунтаев Геннадий Федорович;1181.0;207;229;96;71;209;167;202
38;Уразбахтин Захид Минзагирович;105.0;6;12;60;1;19;3;4
39;Филатов Василий Николаевич;175.0;21;24;16;9;21;47;37
40;Харченко Роман Владимирович;127.0;24;17;17;11;20;15;23
41;Чуракова Нина Викторовна;268.0;32;55;62;15;50;31;23
42;Шоминов Дмитрий Алексеевич;326.0;49;51;40;12;64;45;65
43;Щукина Ольга Витальевна;750.0;134;125;79;27;137;132;116
