;parameter;overall;УИК №428;УИК №429;УИК №430;УИК №431;УИК №432;УИК №433;УИК №434
1;Число избирателей, внесенных в список;16246.0;2809;1853;2240;2286;2010;2467;2581
2;Число бюллетеней, полученных участковой комиссией;11366.0;1964;1297;1567;1600;1406;1726;1806
3;Число бюллетеней, выданных избирателям в помещении для голосования;2286.0;494;273;257;258;252;380;372
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;12.0;6;2;0;2;0;1;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;186.0;41;19;21;19;21;32;33
6;Число погашенных бюллетеней;8894.0;1429;1005;1289;1323;1133;1314;1401
7;Число бюллетеней в переносных ящиках для голосования;186.0;41;19;21;19;21;32;33
8;Число бюллетеней в стационарных ящиках для голосования;2292.0;497;274;257;260;252;380;372
9;Число недействительных бюллетеней;87.0;16;8;4;10;24;14;11
10;Число действительных бюллетеней;2391.0;522;285;274;269;249;398;394
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
