;name;overall;УИК №3394;УИК №3395;УИК №3396;УИК №3399
14;Антонова Ольга Феафановна;1271.0;362;371;333;205
15;Берсенев Александр Валериевич;199.0;47;65;43;44
16;Галлямов Олег Раульевич;73.0;17;11;31;14
17;Гладков Николай Эдуардович;253.0;55;81;61;56
18;Капитульский Юрий Леонидович;289.0;74;103;64;48
19;Клочков Владимир Петрович;1205.0;355;348;323;179
20;Кривошеев Сергей Александрович;901.0;262;263;234;142
21;Ляпин Павел Николаевич;221.0;53;75;44;49
22;Михайлова Евгения Алексеевна;150.0;34;28;46;42
23;Мищенко Людмила Васильевна;133.0;41;33;27;32
24;Ноздрин Александр Дмитриевич;103.0;19;21;35;28
25;Прохода Владимир Владимирович;1266.0;354;396;309;207
26;Северов Геннадий Евгеньевич;109.0;29;27;27;26
27;Семенова Лариса Валерьевна;208.0;48;64;41;55
28;Спесивцев Виктор Николаевич;132.0;36;43;19;34
29;Терехин Андрей Станиславович;1347.0;382;407;321;237
30;Толкачев Дмитрий Валерьевич;127.0;32;33;29;33
