;parameter;overall;УИК №3403;УИК №3404;УИК №3405;УИК №3406
1;Число избирателей, внесенных в список;8701.0;1602;2230;2613;2256
2;Число бюллетеней, полученных участковой комиссией;6200.0;1225;1565;1830;1580
3;Число бюллетеней, выданных избирателям в помещении для голосования;2376.0;360;637;760;619
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;38.0;9;9;16;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;41.0;13;5;11;12
6;Число погашенных бюллетеней;3783.0;852;923;1059;949
7;Число бюллетеней в переносных ящиках для голосования;41.0;13;5;11;12
8;Число бюллетеней в стационарных ящиках для голосования;2414.0;369;646;776;623
9;Число недействительных бюллетеней;92.0;15;18;36;23
10;Число действительных бюллетеней;2363.0;367;633;751;612
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
