;name;overall;УИК №2876;УИК №2877;УИК №2878;УИК №2879;УИК №2880;УИК №2881;УИК №2882;УИК №2883;УИК №2884;УИК №2885;УИК №2886;УИК №2887;УИК №2888;УИК №2889;УИК №2890;УИК №2891
14;Адам Василий Иванович;1255.0;105;55;53;42;68;99;78;96;114;78;94;75;33;95;117;53
15;Айсин Рушан Жамилевич;162.0;8;15;7;11;11;17;7;9;16;15;11;8;3;14;8;2
16;Белкин Дмитрий Иванович;454.0;50;16;23;29;18;32;29;27;30;32;34;38;14;26;32;24
17;Бутенко Александр Геннадиевич;1184.0;75;48;50;46;68;89;76;105;94;71;90;78;35;103;112;44
18;Ведмедь Артур Алексеевич;259.0;22;14;16;16;7;21;15;23;19;18;19;15;16;16;10;12
19;Воскобой Ксения Михайловна;1098.0;138;13;49;69;78;58;76;61;102;88;89;84;33;45;58;57
20;Девятов Алексей Алексеевич;1239.0;118;12;72;80;77;73;103;89;86;112;94;80;53;93;63;34
21;Дербинян Майя Сергеевна;1072.0;117;15;53;56;79;62;79;69;60;107;92;72;43;80;54;34
22;Зайцев Сергей Андреевич;275.0;19;8;25;17;16;20;15;17;19;12;31;21;14;18;9;14
23;Иванников Александр Павлович;340.0;46;14;15;16;13;9;28;22;26;28;21;24;30;24;10;14
24;Кирий Юлия Федоровна;1076.0;105;28;46;41;57;62;75;73;85;73;87;62;26;98;117;41
25;Кучеренко Александр Михайлович;1003.0;104;11;42;55;58;71;69;56;70;95;77;79;47;78;63;28
26;Ларичев Андрей Викторович;1246.0;168;12;61;70;82;64;106;58;105;102;95;93;43;67;59;61
27;Медведев Игорь Андреевич;1156.0;79;49;59;55;68;62;84;87;101;76;100;62;26;84;126;38
28;Мингулов Булат Маратович;841.0;95;4;45;42;64;51;57;48;45;80;71;53;38;71;52;25
29;Миннеханова Зухра Закариевна;885.0;99;7;54;46;84;43;59;47;46;82;77;55;35;71;53;27
30;Мошковская Валентина Филипповна;451.0;76;10;22;26;27;19;34;17;31;44;38;27;15;33;14;18
31;Никитина Нина Ивановна;1218.0;88;29;60;43;59;80;85;83;91;87;111;80;39;111;121;51
32;Сазанский Иван Маркович;399.0;75;10;18;29;36;13;23;19;32;25;29;15;15;16;27;17
33;Усманов Олег Владимирович;456.0;75;12;16;26;42;30;29;18;44;30;28;32;14;21;15;24
34;Чернецов Виктор Васильевич;296.0;26;5;16;19;7;12;18;19;19;64;23;16;8;21;14;9
35;Чудиновских Андрей Олегович;687.0;96;7;22;43;39;35;46;44;62;50;61;48;28;31;33;42
