;parameter;overall;УИК №2876;УИК №2877;УИК №2878;УИК №2879;УИК №2880;УИК №2881;УИК №2882;УИК №2883;УИК №2884;УИК №2885;УИК №2886;УИК №2887;УИК №2888;УИК №2889;УИК №2890;УИК №2891
1;Число избирателей, внесенных в список;32558.0;2299;139;1563;2070;1938;2017;2463;2570;2610;2555;2580;2505;1140;2157;2210;1742
2;Число бюллетеней, полученных участковой комиссией;22939.0;1600;139;1100;1450;1350;1400;1750;1800;1800;1800;1800;1800;800;1500;1600;1250
3;Число бюллетеней, выданных избирателям в помещении для голосования;3965.0;385;74;188;211;251;246;265;269;290;320;319;281;155;283;257;171
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;49.0;1;9;3;1;5;1;6;1;1;8;2;4;0;1;5;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;461.0;50;40;20;27;24;18;34;44;39;29;33;11;8;16;56;12
6;Число погашенных бюллетеней;18513.0;1165;25;892;1212;1075;1136;1451;1487;1471;1451;1448;1508;637;1201;1287;1067
7;Число бюллетеней в переносных ящиках для голосования;460.0;50;40;20;27;24;18;34;44;38;29;33;11;8;16;56;12
8;Число бюллетеней в стационарных ящиках для голосования;4012.0;386;83;191;210;256;247;271;270;291;328;321;285;155;284;262;172
9;Число недействительных бюллетеней;145.0;9;20;6;7;10;12;9;16;5;12;10;4;8;6;7;4
10;Число действительных бюллетеней;4327.0;427;103;205;230;270;253;296;298;324;345;344;292;155;294;311;180
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
