;name;overall;УИК №2892;УИК №2893;УИК №2894;УИК №2895;УИК №2896;УИК №2897;УИК №2898;УИК №2899;УИК №2900;УИК №2901;УИК №2902;УИК №2903;УИК №2904
14;Воронцов Роман Игоревич;1141.0;86;146;81;148;80;75;96;87;69;58;77;84;54
15;Гераскин Андрей Анатольевич;893.0;69;81;48;82;124;73;92;60;68;45;38;52;61
16;Гречин Виктор Михайлович;469.0;38;45;20;45;25;20;45;37;48;35;37;40;34
17;Дмитренко Кирилл Константинович;210.0;9;21;14;12;12;17;15;28;19;16;13;20;14
18;Карпова Лариса Ивановна;1571.0;116;123;70;95;93;84;88;153;179;136;159;146;129
19;Квятковский Александр Викторович;196.0;8;26;22;14;11;15;15;22;6;15;12;17;13
20;Коробко Максим Александрович;129.0;11;7;5;8;8;9;7;15;14;10;14;11;10
21;Крапивин Денис Андреевич;386.0;22;48;24;34;22;26;35;37;32;24;29;32;21
22;Кроликов Михаил Васильевич;557.0;39;50;17;45;48;40;68;53;56;39;36;24;42
23;Люков Владимир Гаврилович;1467.0;105;109;86;73;86;84;84;133;141;108;163;152;143
24;Мягков Алексей Михайлович;1134.0;83;89;44;47;78;72;66;106;112;84;126;134;93
25;Розанов Сергей Игоревич;785.0;59;90;69;109;58;36;66;59;39;44;60;59;37
26;Соболев Андрей Викторович;418.0;35;48;20;33;22;28;34;50;22;14;25;44;43
27;Соболева Ксения Юрьевна;721.0;52;61;46;48;36;44;49;97;58;47;52;71;60
28;Сушенцов Александр Алексеевич;269.0;16;31;14;17;11;16;19;34;20;16;24;28;23
29;Тарасов Владимир Николаевич;933.0;69;67;51;82;114;52;111;86;74;53;52;64;58
30;Титов Михаил Викторович;262.0;13;19;17;18;22;20;21;34;27;23;11;16;21
31;Фролова Ольга Викторовна;1233.0;108;65;76;135;130;80;150;120;86;64;74;74;71
32;Хрол Людмила Ленидовна;1342.0;89;139;63;66;78;80;81;111;137;118;146;121;113
33;Шестопалов Алексей Георгиевич;1270.0;91;88;67;71;83;82;72;118;123;102;138;125;110
