;parameter;overall;УИК №2892;УИК №2893;УИК №2894;УИК №2895;УИК №2896;УИК №2897;УИК №2898;УИК №2899;УИК №2900;УИК №2901;УИК №2902;УИК №2903;УИК №2904
1;Число избирателей, внесенных в список;31935.0;2466;2573;1806;2287;2111;2035;2914;2787;2605;2347;2618;2932;2454
2;Число бюллетеней, полученных участковой комиссией;22550.0;1750;1800;1300;1600;1500;1450;2050;1950;1850;1650;1850;2050;1750
3;Число бюллетеней, выданных избирателям в помещении для голосования;3768.0;308;337;220;289;281;216;288;413;310;257;283;299;267
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;16.0;2;1;0;5;2;2;1;0;2;0;0;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;369.0;14;37;24;23;28;21;23;34;47;31;42;13;32
6;Число погашенных бюллетеней;18413.0;1428;1426;1056;1288;1191;1213;1739;1503;1493;1362;1525;1738;1451
7;Число бюллетеней в переносных ящиках для голосования;369.0;14;37;24;23;28;21;23;34;47;31;42;13;32
8;Число бюллетеней в стационарных ящиках для голосования;3774.0;310;337;220;294;283;212;288;412;311;257;283;300;267
9;Число недействительных бюллетеней;116.0;13;10;1;9;4;6;6;18;16;11;7;5;10
10;Число действительных бюллетеней;4027.0;311;364;243;308;307;227;305;428;342;277;318;308;289
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
