;parameter;overall;УИК №2863;УИК №2864;УИК №2866;УИК №2867;УИК №2868;УИК №2869;УИК №2870;УИК №2871;УИК №2872;УИК №2873;УИК №2874;УИК №2875
1;Число избирателей, внесенных в список;23667.0;1518;2244;2642;2432;1962;1072;149;2691;1741;2154;2340;2722
2;Число бюллетеней, полученных участковой комиссией;16670.0;1061;1710;1844;1697;1373;749;104;1880;1216;1505;1637;1894
3;Число бюллетеней, выданных избирателям в помещении для голосования;3209.0;238;360;302;255;231;162;13;298;237;286;369;458
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;64.0;6;8;8;6;5;2;0;9;4;1;4;11
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;248.0;21;35;19;27;43;4;2;14;24;16;26;17
6;Число погашенных бюллетеней;13212.0;802;1315;1523;1415;1099;583;89;1568;955;1203;1241;1419
7;Число бюллетеней в переносных ящиках для голосования;248.0;21;35;19;27;43;4;2;14;24;16;26;17
8;Число бюллетеней в стационарных ящиках для голосования;3265.0;244;368;310;261;235;161;13;307;241;284;372;469
9;Число недействительных бюллетеней;119.0;10;17;7;6;9;9;0;14;8;13;7;19
10;Число действительных бюллетеней;3394.0;255;386;322;282;269;156;15;307;257;287;391;467
11;Число утраченных бюллетеней;1.0;0;0;0;0;0;0;0;0;0;0;1;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
