;name;overall;УИК №2852;УИК №2853;УИК №2854;УИК №2855;УИК №2856;УИК №2857;УИК №2858;УИК №2859;УИК №2860;УИК №2861;УИК №2862;УИК №2865
14;Амосова Ольга Юрьевна;247.0;19;20;21;23;2;24;23;17;19;28;35;16
15;Бражник Виктория Алексеевна;1224.0;111;91;121;96;54;142;142;70;116;140;103;38
16;Варавин Никита Игоревич;310.0;28;18;25;23;28;32;21;28;35;23;33;16
17;Денисенко Вадим Николаевич;915.0;84;73;85;69;67;130;71;80;74;71;71;40
18;Дрожжинов Михаил Дмитриевич;852.0;87;68;80;77;37;106;90;43;83;83;66;32
19;Какушин Дмитрий Николаевич;550.0;45;46;41;26;12;59;63;39;34;33;67;85
20;Киселев Дмитрий Викторович;900.0;81;75;102;63;48;118;81;84;76;69;65;38
21;Коровин Вадим Александрович;938.0;118;75;81;61;49;109;64;66;71;65;73;106
22;Корсаков Николай Николаевич;643.0;37;44;59;37;36;81;82;52;47;52;73;43
23;Кургузов Иван Александрович;482.0;27;35;54;40;16;72;51;48;39;38;41;21
24;Литвинов Алексей Сергеевич;177.0;13;8;19;23;4;21;18;14;18;9;18;12
25;Мкртчян Тигран Лунтерсович;795.0;100;57;65;67;28;101;82;41;85;78;62;29
26;Мостинская Ольга Сергеевна;947.0;74;57;80;35;82;119;74;47;86;87;88;118
27;Муратова Юлия Ивановна;130.0;9;14;11;7;7;19;10;13;13;11;11;5
28;Недумов Сергей Юрьевич;133.0;9;12;12;9;5;22;9;21;7;15;11;1
29;Розгон Евгения Игоревна;589.0;36;32;45;24;33;43;59;35;52;41;61;128
30;Салов Игорь Александрович;271.0;27;16;16;19;25;26;35;25;22;16;32;12
31;Столяров Андрей Львович;269.0;18;19;25;22;7;29;38;21;24;16;36;14
32;Сурикова Ирина Евгеньевна;1026.0;95;73;132;70;52;123;67;76;83;77;68;110
33;Сущинская Алла Викторовна;143.0;7;13;14;14;3;15;8;12;14;14;17;12
34;Удальцов Александр Александрович;318.0;15;25;35;24;13;33;42;23;20;27;41;20
35;Хубиев Расул Владимирович;706.0;68;41;65;63;28;73;79;35;73;88;68;25
36;Чистякова Татьяна Александровна;987.0;93;72;97;82;43;97;107;47;92;120;100;37
37;Шайдуллин Илья Равильевич;76.0;4;6;7;3;1;7;8;9;10;5;13;3
38;Шалатонина Елена Викторовна;159.0;10;13;13;8;10;15;21;23;10;11;17;8
39;Шубин Семен Валериевич;149.0;8;8;9;6;9;22;21;13;8;22;19;4
40;Щербаков Анатолий Александрович;127.0;5;9;13;11;6;15;17;13;11;9;10;8
