;parameter;overall;УИК №156;УИК №157;УИК №158;УИК №159;УИК №161;УИК №162;УИК №165;УИК №167
1;Число избирателей, внесенных в список;18884.0;2857;2548;2023;2546;1655;2531;2698;2026
2;Число бюллетеней, полученных участковой комиссией;13340.0;2020;1770;1430;1800;1170;1780;1900;1470
3;Число бюллетеней, выданных избирателям в помещении для голосования;3774.0;454;699;411;463;296;413;458;580
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;49.0;4;16;7;3;6;3;6;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;124.0;19;17;12;20;10;16;17;13
6;Число погашенных бюллетеней;9442.0;1547;1054;1007;1317;864;1351;1425;877
7;Число бюллетеней в переносных ящиках для голосования;124.0;19;17;12;20;10;16;17;13
8;Число бюллетеней в стационарных ящиках для голосования;3815.0;458;715;417;466;302;413;464;580
9;Число недействительных бюллетеней;96.0;7;21;7;8;13;9;9;22
10;Число действительных бюллетеней;3843.0;470;711;422;478;299;420;472;571
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
