;name;overall;УИК №160;УИК №163;УИК №164;УИК №166;УИК №168;УИК №169;УИК №170;УИК №177;УИК №181
14;Алифанов Антон Викторович;1096.0;25;195;96;132;58;221;124;135;110
15;Ананьина Татьяна Александровна;498.0;67;47;26;53;85;78;54;47;41
16;Бальде Максим Сергеевич;201.0;22;34;19;17;29;18;15;38;9
17;Венедиктов Вадим Аркадьевич;1029.0;23;179;110;123;37;216;84;146;111
18;Виноградова Ольга Станиславовна;309.0;59;30;14;42;71;40;19;14;20
19;Волков Тимур Юрьевич;339.0;31;110;15;31;56;21;28;32;15
20;Господарик Николай Юрьевич;1108.0;15;210;115;133;35;235;94;151;120
21;Гребенкин Александр Александрович;960.0;167;96;58;70;179;93;96;91;110
22;Змиевской Григорий Николаевич;550.0;63;63;24;80;85;91;59;49;36
23;Иванов Константин Игоревич;496.0;78;49;14;54;81;95;48;44;33
24;Касимова Татьяна Леонидовна;1179.0;40;210;112;132;64;223;110;172;116
25;Коновалов Борис Сергеевич;437.0;60;46;19;38;90;68;40;40;36
26;Кроон Иннокентий Владимирович;112.0;20;10;4;13;25;17;3;12;8
27;Курносенков Сергей Александрович;164.0;16;22;10;10;37;23;17;14;15
28;Ломакина Мария Андреевна;295.0;53;26;9;26;59;47;25;29;21
29;Мельников Александр Николаевич;736.0;136;51;50;51;129;79;61;85;94
30;Новикова Ирина Владимировна;220.0;50;20;9;18;63;14;12;18;16
31;Нурлыбаев Алексей Кубейсинович;285.0;11;35;14;34;22;39;53;47;30
32;Ольшанский Игорь Витальевич;878.0;176;73;52;56;181;75;66;92;107
33;Орлов Егор Андреевич;116.0;20;8;7;9;30;11;11;7;13
34;Осинцев Алексей Дмитриевич;115.0;35;13;2;7;25;8;5;10;10
35;Отиашвили-Бриони Эдуард Суликоевич;48.0;14;4;1;4;13;2;5;1;4
36;Пахомов Владимир Николаевич;876.0;137;82;59;61;144;103;93;86;111
37;Передрий Дмитрий Валерьевич;206.0;31;20;10;18;56;28;14;17;12
38;Славинская Татьяна Игоревна;703.0;134;57;45;59;125;60;57;73;93
39;Старосельский Борис Юрьевич;94.0;23;10;6;6;19;11;8;3;8
40;Сулейманов Евгений Азатович;72.0;19;4;4;3;9;12;9;7;5
41;Тихонова Асия Фирдависовна;1199.0;28;213;104;140;56;250;126;154;128
42;Умников Антон Геннадьевич;110.0;25;12;1;9;29;8;8;14;4
43;Финадеев Сергей Александрович;277.0;39;91;16;16;49;21;15;13;17
44;Чайковский Александр Сергеевич;162.0;32;19;11;11;27;15;13;22;12
45;Шевченко Виктор Терентьевич;251.0;56;21;10;17;61;37;12;19;18
46;Шмаринова Дария Алексеевна;858.0;19;134;47;121;39;176;119;109;94
47;Щерба Александр Валерьевич;145.0;42;10;1;10;43;11;3;16;9
