;name;overall;УИК №440;УИК №441;УИК №442;УИК №443;УИК №444;УИК №445;УИК №446
14;Андронова Светлана Валерьевна;608.0;57;113;99;102;71;91;75
15;Ашибоков Рустам Мухамедович;191.0;17;34;20;51;19;29;21
16;Барынина Надежда Сергеевна;592.0;103;96;97;59;95;69;73
17;Белоус Анатолий Николаевич;208.0;21;46;35;21;29;32;24
18;Боброва Елена Николаевна;1042.0;109;129;150;180;155;203;116
19;Вартапетян Эрик Гавриллович;589.0;57;84;106;155;91;32;64
20;Васильев Федор Сергеевич;105.0;15;17;8;22;14;12;17
21;Волгин Сергей Алексеевич;533.0;103;106;69;53;71;60;71
22;Горбатых Наталья Викторовна;931.0;111;171;158;136;137;126;92
23;Гормаш Лариса Валерьевна;714.0;79;118;141;114;121;52;89
24;Григоров Сергей Геннадьевич;480.0;44;93;87;66;58;64;68
25;Иванникова Марина Николаевна;875.0;82;149;170;162;131;74;107
26;Кирюткин Владимир Васильевич;324.0;68;60;49;30;42;37;38
27;Косткина Наталья Иссаковна;220.0;39;38;29;26;28;30;30
28;Леонтьев Дмитрий Алексеевич;124.0;18;28;22;10;17;19;10
29;Новикова Екатерина Владимировна;729.0;87;113;117;98;119;113;82
30;Петров Андрей Юрьевич;71.0;10;16;2;8;12;12;11
31;Подчуфарова Ирина Андреевна;724.0;85;123;98;94;128;121;75
32;Смирнова Ирина Владимировна;669.0;64;111;140;103;115;54;82
33;Таболин Владимир Викторович;373.0;31;74;57;78;41;54;38
34;Турапин Максим Андреевич;45.0;3;5;7;9;11;4;6
35;Уколов Вадим Александрович;382.0;61;74;55;30;48;59;55
36;Филиппенков Денис Николаевич;69.0;10;10;19;9;4;8;9
37;Чистиков Никита Сергеевич;427.0;32;139;66;69;59;25;37
38;Шабаев Евгений Олегович;197.0;18;35;34;35;19;22;34
39;Юн-Ни Михаил Владимирович;153.0;5;32;25;17;21;25;28
