;parameter;overall;УИК №447;УИК №448;УИК №449;УИК №450;УИК №451;УИК №452;УИК №453
1;Число избирателей, внесенных в список;19022.0;2201;2865;2750;2532;2848;2860;2966
2;Число бюллетеней, полученных участковой комиссией;13700.0;1600;2100;2000;1800;2000;2100;2100
3;Число бюллетеней, выданных избирателям в помещении для голосования;2520.0;295;419;443;339;331;350;343
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;13.0;1;1;2;2;3;3;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;169.0;25;31;18;26;18;28;23
6;Число погашенных бюллетеней;11011.0;1280;1650;1539;1435;1651;1722;1734
7;Число бюллетеней в переносных ящиках для голосования;169.0;25;31;18;26;18;28;23
8;Число бюллетеней в стационарных ящиках для голосования;2531.0;296;419;445;341;333;353;344
9;Число недействительных бюллетеней;86.0;8;17;11;14;12;14;10
10;Число действительных бюллетеней;2614.0;313;433;452;353;339;367;357
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
