;name;overall;УИК №3079;УИК №3080;УИК №3081;УИК №3082;УИК №3083;УИК №3084;УИК №3085;УИК №3086;УИК №3087;УИК №3088;УИК №3089;УИК №3090;УИК №3091;УИК №3092;УИК №3093
14;Афонина Анастасия Вячеславовна;548.0;41;40;33;25;47;33;27;33;32;36;37;44;35;34;51
15;Бохан Татьяна Алексеевна;161.0;19;11;16;17;13;7;7;8;9;13;9;5;5;6;16
16;Громов Василий Евгеньевич;789.0;54;47;58;51;65;44;40;54;42;61;60;54;50;46;63
17;Грузинов Александр Иванович;524.0;37;41;32;34;34;34;24;38;59;42;20;43;32;22;32
18;Ефимов Николай Викторович;1211.0;83;84;83;70;81;81;75;75;89;96;99;75;95;49;76
19;Золочевский Виталий Сергеевич;309.0;29;14;39;32;21;28;13;22;14;20;20;15;20;13;9
20;Козлов Алексей Владимирович;1166.0;74;88;85;85;68;71;68;77;87;89;83;72;81;67;71
21;Корчагин Павел Викторович;221.0;21;9;13;16;13;16;9;11;17;21;13;13;18;12;19
22;Костин Юрий Владимирович;376.0;27;36;24;28;28;18;20;27;19;25;23;20;29;24;28
23;Кочетков Алексей Иванович;1265.0;81;103;85;90;98;77;80;77;76;97;98;80;100;47;76
24;Лозицкая Ольга Игоревна;334.0;15;27;16;19;30;30;14;21;27;30;19;25;25;16;20
25;Лысков Александр Дмитриевич;524.0;40;37;33;34;43;30;26;30;30;35;40;32;35;31;48
26;Мороз Павел Евгеньевич;1178.0;73;81;79;78;84;80;71;70;77;99;95;75;92;50;74
27;Наумова Нина Михайловна;1463.0;88;96;110;87;91;82;86;91;98;121;114;96;118;86;99
28;Нефедов Александр Евгеньевич;403.0;27;25;29;23;34;28;20;19;33;28;35;28;28;18;28
29;Нефёдов Сергей Иванович;1100.0;65;78;78;74;85;60;63;75;73;73;87;65;100;46;78
30;Осадчий Николай Витальевич;189.0;17;15;12;16;13;6;8;14;8;14;15;15;17;8;11
31;Промская Ольга Николаевна;281.0;23;23;32;20;26;19;14;16;14;17;16;18;11;10;22
32;Рычагова Валерия Михайловна;409.0;28;25;27;17;34;26;16;21;23;34;34;29;25;26;44
33;Смирнова Ирина Ивановна;339.0;22;22;25;19;28;21;14;17;22;29;15;33;19;25;28
34;Смолин Павел Александрович;341.0;23;31;24;28;28;18;17;21;16;23;28;24;23;18;19
35;Спирин Максим Сергеевич;1011.0;59;83;78;70;49;56;63;64;77;91;72;59;77;48;65
36;Трифонов Роман Демьянович;1231.0;74;83;92;71;87;74;66;72;93;83;95;86;104;53;98
37;Трубин Александр Арсентьевич;318.0;24;26;26;18;14;18;15;25;33;26;17;16;23;14;23
38;Фуртатова Ирина Григорьевна;284.0;19;16;21;17;16;19;13;26;33;22;17;11;14;17;23
39;Цулева Нина Дмитриевна;1344.0;82;86;102;99;77;82;68;94;105;125;81;96;86;69;92
40;Шорина Тамара Борисовна;1360.0;92;104;117;90;71;81;74;99;100;119;84;86;87;76;80
