;parameter;overall;УИК №3079;УИК №3080;УИК №3081;УИК №3082;УИК №3083;УИК №3084;УИК №3085;УИК №3086;УИК №3087;УИК №3088;УИК №3089;УИК №3090;УИК №3091;УИК №3092;УИК №3093
1;Число избирателей, внесенных в список;31428.0;1968;1978;2020;1989;1980;2113;2014;1986;2358;2563;2186;2005;1973;2230;2065
2;Число бюллетеней, полученных участковой комиссией;22600.0;1400;1400;1500;1400;1400;1500;1500;1400;1700;1800;1600;1500;1400;1600;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;4407.0;292;306;313;277;305;261;235;265;312;338;304;292;326;263;318
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;40.0;1;2;5;1;1;6;2;4;1;4;5;0;3;0;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;283.0;12;33;13;28;15;8;25;22;12;22;26;24;15;6;22
6;Число погашенных бюллетеней;17910.0;1096;1061;1174;1095;1080;1231;1240;1113;1376;1440;1270;1184;1059;1331;1160
7;Число бюллетеней в переносных ящиках для голосования;283.0;12;33;13;28;15;8;25;22;12;22;26;24;15;6;22
8;Число бюллетеней в стационарных ящиках для голосования;4439.0;291;306;318;278;306;267;236;269;313;342;309;292;327;262;323
9;Число недействительных бюллетеней;150.0;7;4;6;6;11;3;14;10;14;8;8;10;16;12;21
10;Число действительных бюллетеней;4572.0;296;335;325;300;310;272;247;281;311;356;327;306;326;256;324
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
