;parameter;overall;УИК №461;УИК №462;УИК №463;УИК №464;УИК №465;УИК №466;УИК №467;УИК №468;УИК №476
1;Число избирателей, внесенных в список;22631.0;2838;2683;2492;2742;2620;2022;2592;2075;2567
2;Число бюллетеней, полученных участковой комиссией;16300.0;2000;1900;1800;2000;1900;1500;1900;1500;1800
3;Число бюллетеней, выданных избирателям в помещении для голосования;3291.0;309;296;392;387;442;352;434;378;301
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;44.0;5;5;5;3;6;4;4;10;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;110.0;7;9;13;13;9;8;37;12;2
6;Число погашенных бюллетеней;12899.0;1684;1595;1395;1600;1449;1140;1429;1110;1497
7;Число бюллетеней в переносных ящиках для голосования;110.0;7;9;13;13;9;8;37;12;2
8;Число бюллетеней в стационарных ящиках для голосования;3331.0;314;301;397;390;448;355;436;388;302
9;Число недействительных бюллетеней;92.0;13;10;7;11;9;9;14;12;7
10;Число действительных бюллетеней;3349.0;308;300;403;392;448;354;459;388;297
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
