;name;overall;УИК №469;УИК №470;УИК №471;УИК №472;УИК №473;УИК №474;УИК №475;УИК №477;УИК №478;УИК №479;УИК №3417
14;Андронов Дмитрий Викторович;180.0;68;10;15;33;7;4;1;22;16;4;0
15;Арифулин Александр Александрович;662.0;90;67;49;80;84;134;52;41;45;11;9
16;Ашмарин Илья Олегович;252.0;80;27;22;28;13;14;15;24;18;10;1
17;Баринов Иван Борисович;1266.0;131;156;108;160;202;191;137;65;51;53;12
18;Борисов Вячеслав Борисович;258.0;69;18;28;43;14;31;12;11;17;11;4
19;Бохонская Инесса Евгеньевна;1047.0;308;58;138;155;68;28;62;106;68;25;31
20;Брежнев Александр Николаевич;954.0;281;58;99;122;42;33;61;116;86;24;32
21;Голуенко Владимир Станиславович;648.0;86;84;53;78;101;92;74;33;16;22;9
22;Горбачев Алексей Вячеславович;261.0;91;24;22;38;10;14;7;32;11;12;0
23;Губченко Петр Евгеньевич;737.0;220;49;83;93;33;21;35;90;70;17;26
24;Зурабова Марина Вачакановна;230.0;69;24;14;22;16;50;8;10;9;8;0
25;Ильинская Анжела Марковна;318.0;97;22;23;37;15;60;7;32;18;5;2
26;Казьмин Олег Арнольдович;216.0;51;17;14;25;24;31;26;13;14;1;0
27;Калачев Валерий Валентинович;165.0;43;22;18;16;13;9;10;17;9;7;1
28;Козлов Ярослав Константинович;255.0;77;24;24;37;16;16;12;19;14;12;4
29;Колесников Василий Владимирович;367.0;75;34;32;57;30;52;20;37;22;6;2
30;Коршунова Екатерина Сергеевна;506.0;111;30;124;70;33;20;20;57;25;15;1
31;Лялин Андрей Борисович;195.0;66;22;15;27;12;7;8;16;19;3;0
32;Максимов Данила Владимирович;292.0;79;27;26;37;4;9;19;65;19;7;0
33;Мартыненко Людмила Викторовна;1434.0;141;178;119;190;222;218;151;87;51;61;16
34;Михайлов Максим Андреевич;1005.0;119;138;92;137;137;111;91;66;44;57;13
35;Несытов Владислав Дмитриевич;256.0;59;29;37;41;15;17;10;15;20;10;3
36;Николаенко Борис Сергеевич;96.0;23;3;3;5;12;12;19;6;12;1;0
37;Никульчев Константин Викторович;227.0;60;25;18;25;4;11;11;56;13;1;3
38;Орехов Дмитрий Альбертович;207.0;50;21;22;25;14;17;10;27;19;1;1
39;Пароконный Юрий Владимирович;86.0;34;11;7;13;2;0;4;9;5;1;0
40;Савина Галина Николаевна;216.0;68;19;21;33;10;10;10;25;13;5;2
41;Самойлик Виктор Иванович;882.0;209;94;92;106;32;33;65;106;89;18;38
42;Святобогова Оксана Александровна;307.0;70;41;24;44;40;20;24;20;17;7;0
43;Сергань Ярослав Владимирович;195.0;37;14;24;39;23;14;13;19;8;3;1
44;Сергеева Марина Владимировна;625.0;85;58;34;94;112;135;55;21;18;4;9
45;Сидорова Елена Игнатьевна;870.0;240;45;88;129;42;18;68;112;79;14;35
46;Смирнов Алексей Иванович;139.0;41;25;10;18;8;5;6;17;4;2;3
47;Соколов Александр Борисович;200.0;36;15;13;44;15;33;16;14;6;7;1
48;Фомин Никита Алексеевич;213.0;71;28;17;22;6;10;11;28;16;4;0
49;Храмешина Наталья Валентиновна;261.0;72;26;29;29;7;13;16;30;31;6;2
50;Шемелин Юрий Николаевич;335.0;120;57;28;22;8;12;21;33;26;4;4
51;Якубовская Любовь Станиславна;1467.0;240;222;152;239;134;99;115;137;55;58;16
