;name;overall;УИК №1985;УИК №1986;УИК №1987;УИК №1988;УИК №1989;УИК №1990;УИК №1991;УИК №1992;УИК №1993;УИК №1994;УИК №1995;УИК №1996;УИК №1997;УИК №1998;УИК №1999;УИК №2000;УИК №2001
14;Александров Вячеслав Анатольевич;891.0;72;68;70;54;56;43;39;47;45;47;52;52;47;69;39;41;50
15;Борисова Анастасия Викторовна;435.0;27;37;35;42;25;25;15;14;26;16;21;24;33;26;19;21;29
16;Бурлакина Ольга Викторовна;1905.0;143;95;144;139;154;109;75;88;88;119;144;119;99;60;110;108;111
17;Видутина Оксана Вячеславовна;1987.0;150;95;122;119;150;122;78;91;113;137;165;128;90;65;127;109;126
18;Виноградова Софья Андреевна;545.0;26;33;43;37;32;21;20;19;34;25;42;42;37;33;39;26;36
19;Горло Константин Викторович;200.0;9;11;16;11;13;13;7;10;6;14;16;13;13;14;7;12;15
20;Задорова Мария Вячеславовна;510.0;19;35;35;52;20;17;23;29;27;23;40;34;28;35;28;22;43
21;Кольцова Маргарита Мухаммедовна;314.0;13;20;28;21;19;11;15;16;23;15;21;22;23;14;21;15;17
22;Колюбина Наталья Владимировна;902.0;28;45;69;60;55;50;38;49;54;60;55;61;53;81;41;48;55
23;Ленёва Юлия Игоревна;141.0;5;4;5;15;8;10;4;13;6;6;11;11;8;6;9;13;7
24;Лефтер Вячеслав Сергеевич;894.0;29;73;84;53;50;53;41;52;53;50;51;77;52;53;38;36;49
25;Миронова Екатерина Юрьевна;353.0;14;20;31;29;18;20;17;22;19;19;25;14;26;32;11;18;18
26;Мирошина Марина Геннадьевна;523.0;18;46;68;52;35;23;27;24;25;20;30;30;22;31;19;26;27
27;Попкова Елена Викторовна;945.0;29;61;81;49;63;49;57;112;61;54;52;47;41;61;36;43;49
28;Портных Ольга Анатольевна;407.0;10;24;38;31;21;12;15;14;30;14;37;40;25;13;29;21;33
29;Самышина Елена Александровна;1899.0;153;96;136;139;141;112;83;101;96;119;137;121;78;66;107;99;115
30;Сингх Зоя;196.0;3;13;14;12;10;4;9;16;13;9;18;16;13;8;16;9;13
31;Скворцов Александр Андреевич;768.0;28;50;70;58;53;39;42;47;54;37;44;51;46;47;30;31;41
32;Темирканов Ибрагим Хатуевич;157.0;6;3;15;16;13;8;8;9;6;8;12;11;8;6;10;8;10
33;Тишкова Елена Алексеевна;2106.0;169;118;171;161;185;122;79;126;115;130;150;105;88;65;113;100;109
34;Хлестов Дмитрий Владимирович;1755.0;152;79;113;113;138;110;78;109;108;113;131;94;68;50;98;97;104
35;Шестаков Даниил Борисович;270.0;6;11;15;19;20;27;12;15;13;13;16;16;17;23;16;12;19
