;parameter;overall;УИК №1985;УИК №1986;УИК №1987;УИК №1988;УИК №1989;УИК №1990;УИК №1991;УИК №1992;УИК №1993;УИК №1994;УИК №1995;УИК №1996;УИК №1997;УИК №1998;УИК №1999;УИК №2000;УИК №2001
1;Число избирателей, внесенных в список;37524.0;2415;2579;2374;2471;2530;1712;1774;2024;2088;2009;2472;2308;2202;2367;2012;2059;2128
2;Число бюллетеней, полученных участковой комиссией;26690.0;1700;1830;1700;1750;1800;1210;1250;1450;1500;1450;1750;1650;1550;1700;1450;1450;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;4450.0;279;266;347;314;312;227;210;277;252;258;326;278;213;218;215;208;250
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;31.0;6;5;0;2;0;2;4;0;0;0;1;2;0;1;3;3;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;298.0;17;12;27;10;21;19;10;15;9;15;13;15;27;7;38;26;17
6;Число погашенных бюллетеней;21942.0;1404;1552;1326;1426;1467;964;1030;1158;1239;1177;1411;1357;1310;1475;1197;1216;1233
7;Число бюллетеней в переносных ящиках для голосования;295.0;17;12;27;10;21;19;10;15;9;15;13;15;24;7;38;26;17
8;Число бюллетеней в стационарных ящиках для голосования;4473.0;279;271;347;316;312;228;214;277;252;258;327;280;213;218;218;211;252
9;Число недействительных бюллетеней;157.0;8;13;16;4;10;5;9;12;15;12;12;9;6;5;9;8;4
10;Число действительных бюллетеней;4611.0;288;270;358;322;323;242;215;280;246;261;328;286;231;220;247;229;265
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
