;name;overall;УИК №2002;УИК №2003;УИК №2004;УИК №2005;УИК №2006;УИК №2007;УИК №2008;УИК №2009;УИК №2010;УИК №2011;УИК №2012;УИК №2013;УИК №2014;УИК №2015;УИК №2016;УИК №2017
14;Барков Дмитрий Юрьевич;284.0;11;15;18;24;18;14;19;23;32;16;9;22;14;16;19;14
15;Будишевский Николай Юрьевич;896.0;63;65;70;71;56;47;43;56;64;75;35;30;55;38;82;46
16;Бурцева Ирина Викторовна;522.0;17;39;43;38;34;36;28;36;47;47;22;27;25;30;29;24
17;Ващук Александр Анатольевич;849.0;54;62;80;66;52;38;36;51;74;70;39;31;39;40;75;42
18;Вихор Станислав Петрович;223.0;8;14;12;21;18;7;10;11;22;24;10;12;11;13;17;13
19;Гусева Татьяна Анатольевна;988.0;67;66;74;104;72;48;44;54;91;67;51;27;64;40;83;36
20;Дедуренко Александр Юрьевич;233.0;2;11;19;13;21;10;3;13;20;24;12;17;17;13;24;14
21;Дубкова Анжела Николаевна;312.0;10;20;20;26;30;24;14;18;25;25;13;16;19;9;14;29
22;Егорова Яна Юрьевна;377.0;13;28;30;30;28;19;25;22;30;26;20;25;25;21;16;19
23;Жирова Ирина Валерьевна;842.0;55;49;63;65;66;42;27;49;76;55;45;30;77;39;74;30
24;Задвернюк Дмитрий Сергеевич;134.0;8;11;4;9;14;4;7;5;7;14;8;10;6;4;18;5
25;Заславский Матвей Александрович;961.0;64;59;75;71;60;52;42;45;72;62;42;30;65;48;119;55
26;Зуморин Алексей Вячеславович;184.0;13;11;7;10;19;12;19;11;20;11;7;12;10;7;7;8
27;Коровин Игорь Сергеевич;582.0;16;36;35;57;68;38;34;44;39;45;26;32;35;24;32;21
28;Кощеев Александр Николаевич;425.0;16;30;27;30;27;15;24;27;27;33;15;16;60;30;14;34
29;Майоров Андрей Николаевич;1407.0;40;83;68;111;137;75;95;114;107;90;70;65;92;96;74;90
30;Милащенко Николай Николаевич;320.0;14;14;27;27;27;14;21;16;27;32;18;10;17;19;20;17
31;Новоземцева Татьяна Николаевна;1334.0;33;78;76;106;154;78;86;98;104;79;68;63;71;89;81;70
32;Обносов Денис Олегович;307.0;15;17;59;26;32;4;21;18;33;15;5;12;11;13;13;13
33;Старостина Луиза Андреевна;1327.0;38;79;82;109;185;68;85;94;97;84;64;58;71;84;70;59
34;Терлемезян Наира Ваняевна;142.0;7;7;7;9;6;9;11;10;14;11;9;5;6;10;15;6
35;Филиппова Вероника Вячеславовна;475.0;20;29;30;33;38;25;30;31;34;42;24;16;29;25;36;33
36;Шабашева Наталья Викторовна;1357.0;46;83;80;105;142;68;89;98;93;96;61;63;78;86;93;76
37;Шумейко Светлана Анатольевна;1266.0;38;72;70;101;146;71;82;94;87;80;64;59;74;87;78;63
