;name;overall;УИК №2032;УИК №2033;УИК №2034;УИК №2035;УИК №2036;УИК №2037;УИК №2038;УИК №2039;УИК №2040;УИК №2041;УИК №2042;УИК №2043;УИК №2044;УИК №2045;УИК №2046
14;Абдуганиев Назиржон Насибжонович;363.0;44;34;27;20;8;20;35;19;23;14;31;15;23;25;25
15;Аникеев Сергей Васильевич;545.0;42;52;33;34;10;30;40;34;30;24;47;35;51;37;46
16;Ахметжанов Рустам Мансурович;965.0;42;62;59;53;8;51;59;65;57;80;82;65;92;84;106
17;Бондаренко Алексей Алексеевич;1581.0;128;78;95;78;82;172;149;97;76;105;105;31;174;82;129
18;Буданов Илья Игоревич;505.0;31;32;33;37;10;39;28;36;29;32;47;13;40;39;59
19;Гусев Дмитрий Александрович;413.0;22;33;26;20;10;31;30;37;22;19;45;13;26;41;38
20;Ермошкина Анастасия Александровна;331.0;26;19;20;13;9;22;26;22;17;20;35;10;29;13;50
21;Ильина Евгения Владимировна;1829.0;162;101;105;92;94;182;160;116;80;108;128;45;205;100;151
22;Киркова Татьяна Григорьевна;2267.0;131;97;110;95;117;216;190;144;118;151;183;86;229;160;240
23;Киселева Александра Сергеевна;1056.0;54;82;68;54;9;51;75;76;70;81;82;71;87;83;113
24;Климов Сергей Митрофанович;1053.0;48;82;70;55;11;59;76;74;60;78;81;75;97;80;107
25;Коломиец Елена Валентиновна;825.0;57;65;53;48;3;49;64;70;54;45;74;31;65;61;86
26;Корнешов Владислав Викторович;393.0;21;35;28;22;6;28;30;32;16;20;40;10;30;35;40
27;Лещенко Марк Сергеевич;204.0;5;15;15;10;7;18;12;13;8;18;23;4;14;24;18
28;Лукоянов Алексей Александрович;1437.0;138;79;82;60;76;169;133;80;59;93;89;33;160;76;110
29;Пивоваров Игорь Михайлович;197.0;12;16;10;16;10;8;18;10;15;13;15;4;18;15;17
30;Тимофеев Александр Валерьевич;585.0;28;39;39;28;9;42;31;34;28;35;57;18;53;30;114
31;Тозик Александр Михайлович;1465.0;132;78;78;73;76;160;130;88;61;103;97;31;162;82;114
