;parameter;overall;УИК №2047;УИК №2050;УИК №2051;УИК №2052;УИК №2053;УИК №2054;УИК №2055;УИК №2056;УИК №2058;УИК №2060;УИК №2061;УИК №2063;УИК №2068;УИК №2069;УИК №2073
1;Число избирателей, внесенных в список;33722.0;237;2155;1842;2310;2395;2343;3054;2389;2653;2733;2524;2526;2311;2241;2009
2;Число бюллетеней, полученных участковой комиссией;24775.0;225;1600;1350;1700;1750;1700;2200;1750;1950;2000;1850;1850;1700;1650;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;3672.0;183;200;147;215;246;252;324;235;279;281;291;271;265;253;230
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;31.0;1;0;3;1;3;8;1;1;3;1;3;2;2;2;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;254.0;42;7;10;24;16;6;9;9;13;7;15;21;27;26;22
6;Число погашенных бюллетеней;20849.0;0;1393;1193;1461;1488;1442;1867;1506;1658;1712;1544;1558;1408;1371;1248
7;Число бюллетеней в переносных ящиках для голосования;254.0;42;7;10;24;16;6;9;9;13;7;15;21;27;26;22
8;Число бюллетеней в стационарных ящиках для голосования;3682.0;184;200;150;216;248;260;325;236;280;282;276;273;267;255;230
9;Число недействительных бюллетеней;158.0;15;6;2;16;6;12;7;14;11;15;7;17;10;10;10
10;Число действительных бюллетеней;3778.0;211;201;158;224;258;254;327;231;282;274;284;277;284;271;242
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
