;parameter;overall;УИК №2078;УИК №2079;УИК №2080;УИК №2081;УИК №2082;УИК №2083;УИК №2084;УИК №2085;УИК №2086;УИК №2087;УИК №2088;УИК №2090;УИК №2091
1;Число избирателей, внесенных в список;30081.0;2290;2452;2174;2359;2500;2424;2127;1915;2152;2530;2664;1964;2530
2;Число бюллетеней, полученных участковой комиссией;20600.0;1600;1700;1500;1600;1700;1700;1500;1300;1500;1700;1800;1300;1700
3;Число бюллетеней, выданных избирателям в помещении для голосования;2656.0;229;230;208;291;196;168;202;150;148;227;218;163;226
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;12.0;1;0;2;1;0;2;2;0;0;0;1;2;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;266.0;37;34;28;15;13;25;37;27;19;18;11;1;1
6;Число погашенных бюллетеней;17678.0;1334;1436;1264;1294;1491;1507;1261;1123;1333;1455;1571;1136;1473
7;Число бюллетеней в переносных ящиках для голосования;266.0;37;34;28;15;13;25;37;27;19;18;11;1;1
8;Число бюллетеней в стационарных ящиках для голосования;2663.0;230;227;210;292;196;170;202;150;148;227;219;165;227
9;Число недействительных бюллетеней;137.0;11;26;11;19;4;9;10;6;4;9;10;12;6
10;Число действительных бюллетеней;2792.0;256;235;227;288;205;186;229;171;163;236;220;154;222
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
