;name;overall;УИК №2089;УИК №2100;УИК №2106;УИК №2107;УИК №2108;УИК №2110;УИК №2111;УИК №2112;УИК №2113;УИК №2114;УИК №2115;УИК №2116;УИК №2117
14;Галин Илья Михайлович;270.0;53;18;22;12;21;26;12;11;12;14;23;33;13
15;Евтушенко Игорь Захарович;375.0;56;21;22;17;33;21;13;12;15;11;105;19;30
16;Еремеев Анатолий Николаевич;248.0;30;22;17;17;23;21;15;8;6;8;34;25;22
17;Каневская Людмила Васильевна;1497.0;99;205;150;85;122;108;169;47;76;109;146;83;98
18;Кашлев Сергей Николаевич;1461.0;110;209;151;82;122;84;168;46;56;112;155;80;86
19;Ковешников Григорий Петрович;1367.0;69;209;148;81;107;80;175;43;54;101;151;69;80
20;Костенко Глеб Александрович;186.0;30;12;9;20;12;13;16;12;7;4;18;12;21
21;Кремлин Леонид Леонидович;267.0;42;15;13;18;32;38;28;8;11;5;25;16;16
22;Лачинов Юрий Николаевич;179.0;25;12;10;23;19;15;4;9;8;8;17;19;10
23;Макарова Елена Викторовна;1469.0;87;197;151;87;120;84;163;47;64;113;180;87;89
24;Мясников Сергей Сергеевич;217.0;25;13;13;21;15;13;18;17;10;6;20;24;22
25;Наместников Максим Владимирович;178.0;26;12;13;10;18;16;12;5;11;7;18;19;11
26;Наумов Александр Александрович;216.0;30;13;13;18;11;23;14;15;11;6;17;20;25
27;Нелюбов Сергей Георгиевич;417.0;66;15;30;20;31;40;26;34;12;4;48;39;52
28;Новиков Александр Анатольевич;1460.0;96;202;147;82;120;64;180;41;57;112;202;73;84
29;Петров Артем Александрович;345.0;34;16;22;23;35;40;16;18;12;3;41;43;42
30;Поляков Сергей Сергеевич;109.0;16;5;5;6;6;9;7;3;6;2;22;10;12
31;Скрипник Яна Даниелевна;185.0;23;10;11;14;14;17;13;13;14;6;19;20;11
32;Тимофеев Юрий Константинович;303.0;55;24;17;28;23;24;20;13;6;10;33;30;20
33;Усенья Виктория Геннадьевна;122.0;19;5;8;9;10;12;10;4;5;2;14;18;6
34;Филимонов Александр Владимирович;248.0;18;10;11;19;18;19;15;10;4;5;71;27;21
35;Шурыгин Денис Юрьевич;146.0;20;17;5;12;3;16;9;7;4;2;16;20;15
