;name;overall;УИК №2424;УИК №2425;УИК №2426;УИК №2427;УИК №2428;УИК №2429;УИК №2430;УИК №2431;УИК №2432;УИК №2433;УИК №2434;УИК №2435;УИК №2436;УИК №2437;УИК №2439;УИК №2441;УИК №2442;УИК №2443;УИК №2446;УИК №2457
14;Балкаров Виктор Анатольевич;242.0;21;11;13;12;9;14;20;9;11;12;19;11;2;13;14;11;7;16;11;6
15;Беглярова Седа Виленовна;1457.0;88;74;73;80;79;63;70;88;53;60;85;62;17;81;75;65;80;78;111;75
16;Белоколодцев Кирилл Сергеевич;265.0;23;14;18;9;11;11;22;17;13;8;12;13;2;16;13;10;14;11;17;11
17;Венглинская Евгения Дмитриевна;630.0;28;29;66;49;32;27;50;26;46;31;36;40;3;16;15;23;16;8;26;63
18;Гесслер Дмитрий Михайлович;1626.0;91;73;71;88;81;64;76;87;74;71;99;87;18;100;72;74;90;90;127;93
19;Греков Платон Евгеньевич;258.0;22;13;13;10;6;15;14;11;17;13;18;19;2;16;8;10;15;14;11;11
20;Грибов Евгений Евгеньевич;331.0;24;16;13;7;14;16;23;14;24;32;19;27;1;14;13;19;13;4;19;19
21;Гроо Виктор Юрьевич;484.0;10;30;18;20;24;19;19;12;30;38;39;34;7;35;24;22;29;23;17;34
22;Дёмин Роман Сергеевич;383.0;18;23;15;17;17;14;11;21;22;14;29;16;3;46;23;21;20;15;27;11
23;Дробот Рэм Викторович;151.0;14;3;9;5;4;8;14;5;8;5;10;5;0;7;8;6;11;8;12;9
24;Зерниченко Лариса Евгеньевна;1502.0;81;68;69;76;70;63;70;81;57;52;77;74;18;95;80;92;101;94;106;78
25;Исаев Роман Азадович;408.0;21;22;18;18;32;10;23;17;17;38;17;21;5;29;24;18;19;15;18;26
26;Лазебный Сергей Владимирович;884.0;70;50;85;67;32;27;51;36;73;52;49;60;8;27;34;28;28;17;34;56
27;Лисицына Тамара Ивановна;1407.0;87;73;64;83;60;59;71;96;42;52;69;64;19;90;68;81;80;83;95;71
28;Нечаев Владислав Михайлович;193.0;16;9;13;15;4;10;9;8;6;5;10;13;2;16;13;11;6;8;9;10
29;Овчаров Дмитрий Александрович;229.0;12;7;8;10;14;7;14;12;6;9;13;15;1;20;16;12;22;5;16;10
30;Осипов Иван Александрович;380.0;22;15;18;13;25;14;12;10;19;26;18;26;5;31;19;28;21;16;18;24
31;Пацаль Валерий Владимирович;419.0;21;17;54;33;17;21;32;21;25;53;18;28;3;12;7;7;8;2;17;23
32;Печенкина Людмила Юрьевна;370.0;12;18;25;10;14;17;40;10;22;20;19;28;3;18;19;14;20;15;28;18
33;Подовинникова Александра Александровна;614.0;28;36;82;35;27;28;50;20;28;38;37;29;4;35;20;14;20;18;21;44
34;Разумович Роман Евгеньевич;500.0;14;19;18;15;19;18;28;30;48;47;40;36;4;26;30;22;15;13;26;32
35;Речкина Елена Борисовна;439.0;17;20;19;12;24;12;20;29;26;28;25;42;2;23;26;17;18;15;40;24
36;Соколов Сергей Юрьевич;537.0;19;23;12;20;18;17;24;32;58;47;44;38;5;26;37;26;20;12;22;37
37;Фомичева Татьяна Александровна;319.0;19;17;13;15;18;15;20;11;20;20;15;17;6;23;6;17;13;11;26;17
