;parameter;overall;УИК №2424;УИК №2425;УИК №2426;УИК №2427;УИК №2428;УИК №2429;УИК №2430;УИК №2431;УИК №2432;УИК №2433;УИК №2434;УИК №2435;УИК №2436;УИК №2437;УИК №2439;УИК №2441;УИК №2442;УИК №2443;УИК №2446;УИК №2457
1;Число избирателей, внесенных в список;48205.0;2519;2474;2441;2333;2746;2969;2798;2307;2219;2536;2719;2666;441;2547;2541;2200;2336;2221;2358;2834
2;Число бюллетеней, полученных участковой комиссией;33840.0;1770;1740;1720;1640;1920;2080;1960;1620;1560;1780;1910;1870;310;1790;1780;1540;1640;1560;1660;1990
3;Число бюллетеней, выданных избирателям в помещении для голосования;4160.0;217;200;220;173;190;163;224;203;224;245;246;268;36;258;191;203;214;189;241;255
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;56.0;1;4;2;1;3;4;0;3;1;1;0;3;0;3;4;5;12;6;2;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;322.0;24;13;40;51;18;15;10;17;5;5;6;10;9;17;15;10;12;8;35;2
6;Число погашенных бюллетеней;29358.0;1529;1527;1460;1416;1712;1902;1726;1400;1331;1530;1658;1592;265;1515;1574;1327;1414;1363;1384;1733
7;Число бюллетеней в переносных ящиках для голосования;322.0;24;13;40;51;18;15;10;17;5;5;6;10;9;17;15;10;12;8;35;2
8;Число бюллетеней в стационарных ящиках для голосования;4187.0;218;200;220;173;193;164;223;202;224;240;246;271;36;261;195;208;226;189;243;255
9;Число недействительных бюллетеней;172.0;10;9;7;9;5;12;9;15;5;2;5;12;2;13;9;6;20;6;13;3
10;Число действительных бюллетеней;4337.0;232;204;253;215;206;167;224;204;224;243;247;269;43;265;201;212;218;191;265;254
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
