;name;overall;УИК №3148;УИК №3150;УИК №3151;УИК №3155;УИК №3156;УИК №3157;УИК №3158;УИК №3159;УИК №3160;УИК №3161
14;Байкова Екатерина Владимировна;1427.0;132;159;127;96;107;147;191;175;131;162
15;Баринов Алексей Николаевич;394.0;36;39;42;20;32;44;46;38;48;49
16;Володин Александр Владимирович;1337.0;107;167;132;84;105;157;177;159;103;146
17;Денисов Олег Михайлович;1269.0;124;164;121;82;93;134;162;144;107;138
18;Каверина Евгения Александровна;718.0;85;76;90;28;65;84;76;60;77;77
19;Локтев Дмитрий Александрович;601.0;51;65;60;32;65;61;60;67;73;67
20;Любченко Дмитрий Аркадьевич;212.0;13;24;26;12;28;23;28;18;22;18
21;Манжелей Дмитрий Викторович;418.0;56;47;47;14;30;52;44;43;47;38
22;Маслова Людмила Борисовна;1374.0;131;170;129;94;106;148;172;154;127;143
23;Осадчий Николай Витальевич;148.0;9;20;11;12;15;18;18;14;18;13
24;Песков Михаил Владимирович;1143.0;111;117;117;48;85;114;121;121;172;137
25;Романов Владимир Валерьянович;339.0;54;28;37;17;40;37;43;24;29;30
26;Самсонов Алексей Иванович;537.0;52;58;40;24;30;48;58;56;99;72
27;Шведов Сергей Николаевич;301.0;28;31;28;17;29;32;39;29;36;32
