;parameter;overall;УИК №3162;УИК №3163;УИК №3164;УИК №3165;УИК №3166;УИК №3167;УИК №3168;УИК №3169;УИК №3170;УИК №3171
1;Число избирателей, внесенных в список;21275.0;2617;1448;1759;2415;2274;2226;1785;1882;2192;2677
2;Число бюллетеней, полученных участковой комиссией;16200.0;2000;1100;1300;2000;1600;1600;1500;1500;1600;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;3223.0;374;229;227;352;336;362;293;317;336;397
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;59.0;5;9;4;11;7;12;1;3;4;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;136.0;36;16;22;5;8;10;19;8;5;7
6;Число погашенных бюллетеней;12841.0;1590;855;1051;1643;1256;1228;1188;1175;1259;1596
7;Число бюллетеней в переносных ящиках для голосования;136.0;36;16;22;5;8;10;19;8;5;7
8;Число бюллетеней в стационарных ящиках для голосования;3278.0;378;238;231;362;342;373;294;320;340;400
9;Число недействительных бюллетеней;83.0;11;8;9;5;5;15;5;6;5;14
10;Число действительных бюллетеней;3331.0;403;246;244;362;345;368;308;322;340;393
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
