;parameter;overall;УИК №1632;УИК №1633;УИК №1634;УИК №1635;УИК №1636;УИК №1637;УИК №1638;УИК №1639;УИК №1640;УИК №1641;УИК №1646;УИК №1648
1;Число избирателей, внесенных в список;21062.0;2383;2244;2033;466;1937;1564;2562;2145;744;2092;1909;983
2;Число бюллетеней, полученных участковой комиссией;15100.0;1700;1600;1500;250;1400;1150;1800;1600;500;1500;1400;700
3;Число бюллетеней, выданных избирателям в помещении для голосования;2863.0;353;264;268;47;262;281;310;283;63;272;301;159
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;24.0;0;2;6;2;2;1;1;1;0;4;4;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;239.0;29;33;12;0;56;14;21;20;4;20;21;9
6;Число погашенных бюллетеней;11998.0;1318;1303;1220;203;1082;855;1469;1297;433;1208;1078;532
7;Число бюллетеней в переносных ящиках для голосования;239.0;29;33;12;0;56;14;21;20;4;20;21;9
8;Число бюллетеней в стационарных ящиках для голосования;2858.0;352;264;273;49;262;282;311;283;63;275;284;160
9;Число недействительных бюллетеней;91.0;8;8;8;3;12;10;12;12;1;6;6;5
10;Число действительных бюллетеней;3006.0;373;289;277;46;306;286;320;291;66;289;299;164
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
