;name;overall;УИК №1642;УИК №1643;УИК №1644;УИК №1645;УИК №1647;УИК №1649;УИК №1650;УИК №1651;УИК №1652;УИК №1653;УИК №1654
14;Азевич Александр Александрович;1444.0;59;83;95;143;121;76;133;122;94;178;340
15;Блинова Анна Михайловна;553.0;28;28;35;45;52;71;56;35;39;56;108
16;Демиденко Ирина Борисовна;417.0;28;21;36;23;34;25;69;30;30;51;70
17;Еремеев Владимир Валерьевич;551.0;31;36;46;47;49;65;64;32;38;53;90
18;Исполатов Борис Юрьевич;487.0;35;31;40;31;49;36;49;39;25;69;83
19;Касаева Диана Альбертовна;1305.0;58;74;103;150;129;79;117;127;71;164;233
20;Кожухарь Александр Анатольевич;418.0;37;27;31;34;30;42;45;27;21;53;71
21;Крамаров Артем Альбертович;208.0;10;18;13;25;22;18;24;11;14;24;29
22;Крюковских Александр Ильич;427.0;28;28;37;30;32;24;41;42;30;62;73
23;Курганов Станислав Вадимович;165.0;10;11;8;12;14;15;22;11;11;19;32
24;Меньшова Ирина Владиславовна;1244.0;52;73;91;146;123;65;127;103;80;160;224
25;Плахова Алла Семеновна;1376.0;68;83;100;152;141;75;138;100;94;183;242
26;Пчелинцева Ольга Викторовна;1262.0;57;79;99;154;120;68;125;103;74;162;221
27;Рыбаков Александр Евгеньевич;447.0;33;26;43;38;34;43;44;33;32;52;69
28;Садеков Рафаиль Абдулханянович;171.0;8;7;27;19;10;13;14;4;15;29;25
29;Селехов Николай Викторович;228.0;8;14;18;18;19;20;30;10;20;27;44
30;Тарханян Артур Альбертович;242.0;19;40;25;27;17;23;19;18;16;16;22
31;Турков Николай Владимирович;367.0;28;20;25;13;33;26;45;35;19;51;72
32;Устюков Дмитрий Владимирович;188.0;8;10;13;15;17;10;26;14;14;31;30
33;Чумаков Олег Игоревич;485.0;33;36;35;42;36;54;51;31;26;55;86
34;Шакиров Руслан Салаватович;111.0;4;6;6;7;2;7;9;7;39;12;12
35;Шереметьева Екатерина Игоревна;518.0;35;39;44;51;48;58;61;24;25;54;79
36;Щетинин Владимир Александрович;426.0;30;29;29;33;34;31;47;37;22;58;76
