;parameter;overall;УИК №1642;УИК №1643;УИК №1644;УИК №1645;УИК №1647;УИК №1649;УИК №1650;УИК №1651;УИК №1652;УИК №1653;УИК №1654
1;Число избирателей, внесенных в список;20952.0;1628;1523;1955;2000;1897;1453;1987;1694;1489;2592;2734
2;Число бюллетеней, полученных участковой комиссией;15300.0;1200;1100;1400;1450;1400;1100;1450;1200;1100;1900;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;3073.0;167;211;224;295;268;215;323;221;223;385;541
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;22.0;1;3;2;0;4;0;3;2;0;4;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;224.0;12;16;21;33;27;15;27;22;16;21;14
6;Число погашенных бюллетеней;12003.0;1021;873;1155;1122;1105;870;1100;957;861;1494;1445
7;Число бюллетеней в переносных ящиках для голосования;223.0;11;16;21;33;27;15;27;22;16;21;14
8;Число бюллетеней в стационарных ящиках для голосования;3088.0;168;214;226;294;272;215;326;221;223;388;541
9;Число недействительных бюллетеней;82.0;6;8;6;10;10;4;10;2;9;12;5
10;Число действительных бюллетеней;3229.0;173;222;241;317;289;226;343;241;230;397;550
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
