;name;overall;УИК №182;УИК №183;УИК №184
14;Берестнев Юрий Юрьевич;183.0;99;50;34
15;Булатова Кира Дмитриевна;229.0;59;65;105
16;Вовкивский Геннадий Борисович;354.0;102;107;145
17;Гайнуллин Рустам Рагипович;34.0;6;14;14
18;Гераськин Сергей Федорович;38.0;5;12;21
19;Дашина Марина Ивановна;120.0;15;31;74
20;Денисова Алла Валерьевна;79.0;14;20;45
21;Дудукова Кристина Юрьевна;20.0;8;5;7
22;Дьяконова Любовь Викторовна;147.0;50;43;54
23;Измайлова Алла Александровна;228.0;33;52;143
24;Иконников Анатолий Петрович;49.0;14;15;20
25;Казаченко Александр Анатольевич;132.0;33;40;59
26;Козленко Александр Николаевич;40.0;11;15;14
27;Кузенкова Наталья Николаевна;437.0;143;130;164
28;Кукса Александр Анатольевич;262.0;75;94;93
29;Кулешов Станислав Олегович;56.0;12;26;18
30;Курзаев Павел Анатольевич;474.0;191;146;137
31;Лаврентьев Валентин Федорович;294.0;119;83;92
32;Максимов Дмитрий Вячеславович;458.0;176;143;139
33;Малахова Валерия Алексеевна;39.0;11;17;11
34;Мамиев Рафаил Закирович;38.0;10;12;16
35;Нечаева Екатерина Сергеевна;21.0;4;9;8
36;Никитская Анна Владимировна;47.0;11;12;24
37;Осипцова Светлана Александровна;363.0;98;125;140
38;Петров Дмитрий Александрович;482.0;178;146;158
39;Полетаев Евгений Владимирович;49.0;5;31;13
40;Радионова Оксана Евгеньевна;425.0;155;132;138
41;Расулов Муроджон Абдувахабович;24.0;5;6;13
42;Скрябин Денис Вячеславович;205.0;74;58;73
43;Соловьев Александр Сергеевич;83.0;31;26;26
44;Тралкова Елена Викторовна;61.0;21;19;21
45;Трясцын Владимир Юрьевич;450.0;177;141;132
46;Федулов Юрий Александрович;124.0;33;34;57
47;Цатурян Марат Камоевич;65.0;20;13;32
48;Цигипова Людмила Владимировна;61.0;14;12;35
49;Шишков Борис Владимирович;179.0;35;38;106
