;parameter;overall;УИК №185;УИК №186;УИК №187
1;Число избирателей, внесенных в список;7077.0;2033;2836;2208
2;Число бюллетеней, полученных участковой комиссией;5000.0;1450;2000;1550
3;Число бюллетеней, выданных избирателям в помещении для голосования;1523.0;402;589;532
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;5.0;1;3;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;63.0;18;27;18
6;Число погашенных бюллетеней;3414.0;1030;1384;1000
7;Число бюллетеней в переносных ящиках для голосования;63.0;18;27;18
8;Число бюллетеней в стационарных ящиках для голосования;1523.0;402;591;530
9;Число недействительных бюллетеней;33.0;11;15;7
10;Число действительных бюллетеней;1553.0;409;603;541
11;Число утраченных бюллетеней;0.0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0
