;name;overall;УИК №827;УИК №828;УИК №829;УИК №830;УИК №831;УИК №832;УИК №849
14;Арбатская Анна Дмитриевна;765.0;205;101;113;113;72;84;77
15;Аркин Никита Олегович;427.0;69;81;65;74;32;54;52
16;Батурин Андрей Юрьевич;788.0;195;108;120;127;67;95;76
17;Белов Дмитрий Александрович;159.0;33;33;19;21;9;16;28
18;Гришина Галина Анатольевна;819.0;243;114;121;132;65;72;72
19;Дробинский Валерий Леонидович;339.0;55;56;48;48;21;73;38
20;Енютин Артём Сергеевич;142.0;26;26;29;18;13;14;16
21;Заболотский Алексей Анатольевич;307.0;53;46;63;47;25;38;35
22;Заварицкая Евгения Евгеньевна;607.0;152;79;104;121;50;57;44
23;Колонистов Николай Павлович;217.0;50;41;36;21;18;24;27
24;Лукина Анастасия Евгеньевна;392.0;70;65;60;60;37;35;65
25;Мочульская Надежда Александровна;132.0;34;24;20;20;6;15;13
26;Носкова Елена Юрьевна;113.0;29;13;17;16;5;16;17
27;Рубин Даниил Олегович;313.0;58;59;48;52;24;31;41
28;Сабитов Виталий Хайретдинович;197.0;44;30;39;22;16;23;23
29;Сорокин Константин Игоревич;179.0;39;31;32;20;16;23;18
30;Суровцев Сергей Юрьевич;240.0;63;42;53;30;9;14;29
31;Финогеев Александр Михайлович;74.0;14;11;12;11;5;7;14
32;Шнейд-Миллер Лита Константиновна;101.0;22;17;15;10;6;14;17
33;Ярулин Семен Александрович;82.0;20;14;19;7;5;10;7
