;parameter;overall;УИК №827;УИК №828;УИК №829;УИК №830;УИК №831;УИК №832;УИК №849
1;Число избирателей, внесенных в список;17826.0;2737;2832;2704;2750;2310;2115;2378
2;Число бюллетеней, полученных участковой комиссией;12900.0;2000;2000;2000;2000;1700;1500;1700
3;Число бюллетеней, выданных избирателям в помещении для голосования;2077.0;400;339;345;328;186;239;240
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;17.0;1;2;0;6;2;3;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;227.0;87;43;34;20;9;23;11
6;Число погашенных бюллетеней;10596.0;1513;1618;1621;1652;1505;1238;1449
7;Число бюллетеней в переносных ящиках для голосования;227.0;87;43;34;20;9;23;11
8;Число бюллетеней в стационарных ящиках для голосования;2091.0;400;341;345;333;188;242;242
9;Число недействительных бюллетеней;90.0;17;23;19;14;5;4;8
10;Число действительных бюллетеней;2228.0;470;361;360;339;192;261;245
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
