;parameter;overall;УИК №833;УИК №834;УИК №835;УИК №836;УИК №837;УИК №838;УИК №839;УИК №840;УИК №841
1;Число избирателей, внесенных в список;17660.0;1605;2372;2233;2336;2201;273;1661;2310;2669
2;Число бюллетеней, полученных участковой комиссией;12900.0;1200;1700;1600;1700;1600;200;1200;1700;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;2441.0;194;285;331;436;271;41;182;348;353
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;36.0;2;3;5;4;10;2;1;2;7
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;171.0;19;13;20;36;16;0;14;29;24
6;Число погашенных бюллетеней;10288.0;987;1402;1249;1228;1313;159;1004;1323;1623
7;Число бюллетеней в переносных ящиках для голосования;171.0;19;13;20;36;16;0;14;29;24
8;Число бюллетеней в стационарных ящиках для голосования;2473.0;196;286;335;440;280;43;183;350;360
9;Число недействительных бюллетеней;81.0;3;9;9;13;13;0;4;15;15
10;Число действительных бюллетеней;2563.0;212;290;346;463;283;43;193;364;369
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
