;parameter;overall;УИК №2496;УИК №2497;УИК №2498;УИК №2499;УИК №2500;УИК №2501;УИК №2502;УИК №2503;УИК №2504;УИК №2505;УИК №2506;УИК №2507;УИК №2508;УИК №2509;УИК №2510;УИК №2511;УИК №2512;УИК №2513;УИК №2515;УИК №2516;УИК №2517;УИК №2520;УИК №2521
1;Число избирателей, внесенных в список;37746.0;2089;1409;1257;1824;1831;94;1948;582;2546;2370;2263;1184;2181;1034;1880;2554;1554;2470;1315;1136;1551;1515;1159
2;Число бюллетеней, полученных участковой комиссией;28990.0;1500;1000;1000;1500;1500;90;1500;500;2000;1700;1600;900;1600;800;1500;2000;1200;1900;1000;900;1200;1200;900
3;Число бюллетеней, выданных избирателям в помещении для голосования;4651.0;288;186;162;243;168;19;286;76;280;381;359;169;281;139;243;241;160;290;131;97;133;157;162
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;58.0;3;2;1;4;4;0;4;0;3;3;3;1;5;4;1;1;5;5;3;2;1;3;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;205.0;15;6;3;9;9;2;11;4;2;17;15;9;18;10;14;8;0;8;15;12;0;8;10
6;Число погашенных бюллетеней;24134.0;1197;808;835;1248;1323;69;1203;420;1718;1302;1226;722;1301;651;1243;1751;1040;1602;854;791;1067;1035;728
7;Число бюллетеней в переносных ящиках для голосования;205.0;15;6;3;9;9;2;11;4;2;17;15;9;18;10;14;8;0;8;15;12;0;8;10
8;Число бюллетеней в стационарных ящиках для голосования;4671.0;291;188;162;247;172;19;290;76;283;355;362;170;285;143;244;241;163;295;134;98;134;157;162
9;Число недействительных бюллетеней;114.0;8;5;6;7;5;1;3;0;6;16;5;8;5;2;5;8;5;7;1;2;1;2;6
10;Число действительных бюллетеней;4762.0;298;189;159;249;176;20;298;80;279;356;372;171;298;151;253;241;158;296;148;108;133;163;166
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
