;name;overall;УИК №2474;УИК №2475;УИК №2476;УИК №2477;УИК №2478;УИК №2479;УИК №2480;УИК №2481;УИК №2482;УИК №2483;УИК №2484;УИК №2485;УИК №2486;УИК №2487;УИК №2488;УИК №2489;УИК №2490;УИК №2491;УИК №2492;УИК №2493;УИК №2494;УИК №2495
14;Акимов Юрий Владимирович;1183.0;102;46;63;26;19;37;65;47;49;116;76;40;64;56;23;10;97;28;31;67;54;67
15;Болотова Екатерина Анатольевна;377.0;23;17;24;5;7;10;24;13;12;28;35;15;17;25;11;4;20;17;8;17;19;26
16;Гордеева Татьяна Викторовна;842.0;35;47;49;21;27;34;50;44;33;62;65;47;41;46;34;5;40;46;28;23;34;31
17;Горохова Ольга Вячеславовна;2069.0;111;126;121;47;64;73;116;90;66;105;114;74;81;193;114;11;102;145;57;104;82;73
18;Ежова Татьяна Владимировна;1247.0;98;91;88;30;31;39;61;52;59;97;74;41;54;62;25;11;88;22;31;66;55;72
19;Екжанова Елена Анатольевна;1773.0;74;100;101;28;54;59;107;93;74;105;108;74;71;142;98;6;84;125;45;89;74;62
20;Ильина Наталья Павловна;1772.0;69;89;89;27;71;65;123;96;69;112;114;74;74;143;95;12;68;126;46;77;78;55
21;Казаринов Евгений Владимирович;481.0;37;26;23;7;12;9;22;13;18;44;31;17;23;18;15;6;70;14;20;16;18;22
22;Климов Александр Олегович;1126.0;104;50;64;24;20;33;49;53;46;105;68;48;56;52;17;11;85;21;30;65;56;69
23;Крюков Никита Борисович;283.0;11;13;7;3;10;12;25;9;20;21;18;20;10;16;5;5;13;11;7;13;16;18
24;Крючкова Яна Юрьевна;1918.0;90;112;105;35;62;73;112;90;72;117;113;67;80;143;106;9;101;124;56;98;83;70
25;Кузнецова Надежда Александровна;1998.0;91;115;106;32;66;75;119;98;68;125;115;69;79;167;107;13;113;132;57;111;83;57
26;Латыпов Салават Ильясович;364.0;21;14;17;7;8;9;19;15;15;29;27;13;10;14;17;3;41;23;9;16;17;20
27;Лисовой Владимир Сергеевич;630.0;36;40;42;14;16;11;25;38;29;40;42;24;35;45;14;9;42;15;19;34;32;28
28;Менделеев Сергей Владимирович;416.0;32;19;30;6;7;12;29;15;17;30;28;16;12;18;12;3;31;16;16;23;13;31
29;Прудникова Татьяна Витальевна;204.0;13;14;9;4;7;11;14;13;8;21;15;8;7;8;2;3;17;6;3;6;8;7
30;Сабадаш Марина Валентиновна;467.0;26;36;28;9;14;13;27;21;22;30;21;18;15;26;9;5;28;18;19;29;22;31
31;Стамбольский Евгений Дмитриевич;1119.0;99;45;64;24;21;37;67;47;71;106;67;40;54;51;17;10;84;20;27;69;46;53
32;Федоров Евгений Станиславович;837.0;66;40;49;17;18;35;42;39;31;75;70;32;29;53;17;10;57;20;25;45;35;32
33;Хохлов Алексей Олегович;1177.0;116;51;68;22;23;35;67;44;54;103;74;36;63;53;16;10;98;18;33;70;53;70
34;Юсов Петр Владимирович;466.0;29;31;34;10;10;9;26;20;20;23;26;16;25;20;12;5;28;21;19;32;23;27
